plat,fichier,ordre,actif
Salade César Revisitée,salade-cesar-revisitee.jpg,1,oui
Soupe du Jour,soupe-du-jour.jpg,1,oui
Accras de Crevettes,accras-de-crevettes.jpg,1,oui
Tartare de Saumon,tartare-de-saumon.jpg,1,oui
Poulet Yassa,poulet-yassa.jpg,1,oui
Thiéboudienne,thieboudienne.jpg,1,oui
Steak de Bœuf Grillé,steak-de-boeuf-grille.jpg,1,oui
Poisson Braisé,poisson-braise.jpg,1,oui
Lasagnes Maison,lasagnes-maison.jpg,1,oui
Assiette Végétarienne,assiette-vegetarienne.jpg,1,oui
Wok de Légumes,wok-de-legumes.jpg,1,oui
Fondant au Chocolat,fondant-au-chocolat.jpg,1,oui
Tarte Tatin,tarte-tatin.jpg,1,oui
Salade de Fruits,salade-de-fruits.jpeg,1,oui
Jus frais,jus-frais.jpg,1,non
"Jus locaux (bissap, gingembre)",jus-locaux-bissap-gingembre.jpg,1,oui
Sodas,sodas.jpg,1,non
Eau,eau.jpg,1,non
Kékélen (Boules de Haricot),kekelen-boules-de-haricot.jpg,1,oui
Ablo + Sauce Tomate,ablo-sauce-tomate.jpg,1,oui
Brochettes de Gizzard (Gésiers),brochettes-de-gizzard-gesiers.jpg,1,oui
Akoumè + Sauce Graine + Viande,akoume-sauce-graine-viande.jpg,1,oui
Fufu + Sauce Arachide + Agneau,fufu-sauce-arachide-agneau.jpg,1,oui
Riz Gras Togolais,riz-gras-togolais.jpg,1,oui
Dégué Millet,degue-millet.jpg,1,oui
Gboma Dési,gboma-desi.jpg,1,oui
Poisson Braisé Façon Togolaise,poisson-braise-facon-togolaise.jpg,1,oui
Kpètè-Kpètè + Agouti Grillé,kpete-kpete-agouti-grille.jpg,1,oui
Spaghetti Sauté Façon Afrique,spaghetti-saute-facon-afrique.jpg,1,oui
Amiwo (Pâte Rouge) + Poulet,amiwo-pate-rouge-poulet.jpg,1,oui
Sauce Arachide Sans Viande + Akoumè,sauce-arachide-sans-viande-akoume.jpg,1,oui
Riz Coco + Haricots Rouge,riz-coco-haricots-rouge.jpg,1,oui
Tchakpalo + Akpan,tchakpalo-akpan.jpg,1,oui
Banane Caramélisée,banane-caramelisee.jpg,1,oui
Beignets de Farine (Puff-Puff),beignets-de-farine-puff-puff.jpg,1,oui
Bissap,bissap.jpg,1,oui
Gingembre,gingembre.jpg,1,oui
Tchakpalo,tchakpalo.jpg,1,oui
Liqui-Liqui / Jus de Baobab,liqui-liqui-jus-de-baobab.jpg,1,oui
Eau / Sodas,eau-sodas.jpg,1,non
